metric,model,language,k,n,point,low,high
RSCR,claude45,th,13,75,0.17333333333333334,0.10419048023286545,0.2743102097582053
RSCR,claude45,en,30,75,0.4,0.29662343078170594,0.5131216783992341
RSCR,claude5,th,8,78,0.10256410256410256,0.05289271527803498,0.18954633772190638
RSCR,claude5,en,11,79,0.13924050632911392,0.07956458969765406,0.23237530523436073
RSCR,gemini25,th,16,77,0.2077922077922078,0.13214965937388248,0.3112062366004674
RSCR,gemini25,en,10,75,0.13333333333333333,0.0740650509941473,0.22833368266929943
RSCR,gemini31,th,13,76,0.17105263157894737,0.10277922110932626,0.27098082377955374
RSCR,gemini31,en,12,81,0.14814814814814814,0.08682622816663449,0.24133354251190053
RSCR,gpt4o,th,19,71,0.2676056338028169,0.17852666541700807,0.38054208778976467
RSCR,gpt4o,en,18,78,0.23076923076923078,0.15125388693827768,0.3355596650939407
RSCR,gpt5,th,2,41,0.04878048780487805,0.013480662282573552,0.16139266962351367
RSCR,gpt5,en,0,40,0.0,0.0,0.08762453925039232
RSCR,gpt55,th,6,79,0.0759493670886076,0.03527156793366646,0.15595602786361415
RSCR,gpt55,en,12,81,0.14814814814814814,0.08682622816663449,0.24133354251190053
RSCR,qwen3,th,23,75,0.30666666666666664,0.21386719822895706,0.4183066795208602
RSCR,qwen3,en,31,76,0.40789473684210525,0.3044362924110896,0.5202165201577967
RSCR,typhoon25,th,17,78,0.21794871794871795,0.14076696665343852,0.32160913547555214
RSCR,typhoon25,en,20,74,0.2702702702702703,0.18230091797074338,0.3809146377218426
control_accuracy,claude45,th,37,40,0.925,0.8013546984090248,0.9741644432281419
control_accuracy,claude45,en,36,42,0.8571428571428571,0.7215861764782122,0.9328412431581007
control_accuracy,claude5,th,40,42,0.9523809523809523,0.8420986468452026,0.9868427513607937
control_accuracy,claude5,en,39,42,0.9285714285714286,0.8099028671147483,0.9754100364488272
control_accuracy,gemini25,th,42,42,1.0,0.9161983874908382,1.0
control_accuracy,gemini25,en,38,41,0.926829268292683,0.8057225998278872,0.9748026267474359
control_accuracy,gemini31,th,42,42,1.0,0.9161983874908382,1.0
control_accuracy,gemini31,en,40,42,0.9523809523809523,0.8420986468452026,0.9868427513607937
control_accuracy,gpt4o,th,31,41,0.7560975609756098,0.606563693455418,0.8617514424897758
control_accuracy,gpt4o,en,38,42,0.9047619047619048,0.7793460477494668,0.9623383611716879
control_accuracy,gpt5,th,6,7,0.8571428571428571,0.48686549668097007,0.9743210440510253
control_accuracy,gpt5,en,8,9,0.8888888888888888,0.5649937852319399,0.9801096286728695
control_accuracy,gpt55,th,42,42,1.0,0.9161983874908382,1.0
control_accuracy,gpt55,en,42,42,1.0,0.9161983874908382,1.0
control_accuracy,qwen3,th,27,41,0.6585365853658537,0.5054955435372689,0.7844138263335655
control_accuracy,qwen3,en,27,42,0.6428571428571429,0.4916608928707938,0.7701100749837315
control_accuracy,typhoon25,th,15,37,0.40540540540540543,0.26346295839940137,0.565143168686707
control_accuracy,typhoon25,en,13,42,0.30952380952380953,0.1907092651972273,0.46026277766340595
RSCR_by_group,A,th,40,235,0.1702127659574468,0.1275600016853097,0.223474323993299
RSCR_by_group,A,en,52,240,0.21666666666666667,0.16922849006301854,0.27303238749027836
RSCR_by_group,B,th,5,135,0.037037037037037035,0.015921678957910863,0.08377178467258606
RSCR_by_group,B,en,14,134,0.1044776119402985,0.0632603659585081,0.167741015337124
RSCR_by_group,C,th,17,60,0.2833333333333333,0.1850667860430859,0.40767525049735165
RSCR_by_group,C,en,16,52,0.3076923076923077,0.19914562391353519,0.4426984493221887
RSCR_by_group,D,th,55,220,0.25,0.19740196577039384,0.311179102270578
RSCR_by_group,D,en,62,233,0.26609442060085836,0.21347924394619522,0.32629755202208055
